word_labels,sentence,biased_words,biased_labels,masked_sentence,unmasked_words,unmasked_words_score_1,unmasked_words_score_2,unmasked_words_score_3,unmasked_words_score_4,unmasked_words_score_5
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O","The incumbent should be committed personwith strong knowledge and understanding of brand, UI and DigitalMarketing aspects.",committed,Behavioural Stereotypes,"The incumbent should be [MASK] personwith strong knowledge and understanding of brand, UI and DigitalMarketing aspects.",a,a,the,one,any,that
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","Knowledge of English is aplus;- Coordination, interpersonal, communication and presentation skills;- Good team player.","interpersonal,",Behavioural Stereotypes,"Knowledge of English is aplus;- Coordination, [MASK] communication and presentation skills;- Good team player.",good,good,effective,social,excellent,visual
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","A full time (or part timesee following sentence)Administrative Assistant position available on an ambitious,goal-oriented environmental project.",,,"A full time (or part timesee following sentence)Administrative Assistant position available on an ambitious,goal-oriented environmental project.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O","You should have good communication, organisational and interpersonal skills, be highly organised and have good problem solving skills.",interpersonal,Behavioural Stereotypes,"You should have good communication, organisational and [MASK] skills, be highly organised and have good problem solving skills.",communication,communication,leadership,administrative,management,managerial
"O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","They require a confident, well groomed and articulate individual with a real desire to succeed to work as a member of the sales team.","confident, well groomed","Behavioural Stereotypes, Behavioural Stereotypes, i-Behavioural Stereotypes",They require a [MASK] [MASK] [MASK] and articulate individual with a real desire to succeed to work as a member of the sales team.,"very, ,, minded","very, ,, minded","highly, and, ,","strong, -, motivated","more, ##ly, focused","truly, ##ally, creative"
"O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The ideal candidate will have a proactive, driven attitude and the experience and ability to lead a successful team by example.","proactive, driven","Behavioural Stereotypes, Behavioural Stereotypes",The ideal candidate will have a [MASK] [MASK] attitude and the experience and ability to lead a successful team by example.,"very, positive","very, positive","strong, good","more, firm","positive, confident","good, focused"
"O,O,O,O,O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","You should be a selfmotivated, independent, detail oriented, responsible teamplayer and exhibit exceptional relationship management skills.","independent, responsible","Behavioural Stereotypes, Behavioural Stereotypes","You should be a selfmotivated, [MASK] detail oriented, [MASK] teamplayer and exhibit exceptional relationship management skills.","highly, skilled","highly, skilled","more, competent","very, professional","and, good","well, effective"
"O,O,O,O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You will be a logical thinker, highly analytical and organised and be able to display a quality focussed attitude and work ethic.",logical analytical,"Behavioural Stereotypes, Behavioural Stereotypes","You will be a [MASK] thinker, highly [MASK] and organised and be able to display a quality focussed attitude and work ethic.","dynamic, educated","dynamic, educated","creative, creative","sharp, intelligent","keen, active","positive, informed"
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",You will work to set KPI s; however this is a very autonomous role where you can manage your own workload and success as you want to.,autonomous,Behavioural Stereotypes,You will work to set KPI s; however this is a very [MASK] role where you can manage your own workload and success as you want to.,important,important,limited,small,different,difficult
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",They're looking for a trusted team member who can help them grow and partner with them in the long term.,trusted,Behavioural Stereotypes,They're looking for a [MASK] team member who can help them grow and partner with them in the long term.,new,new,strong,good,dedicated,young
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Fox Search Ltd is a specialist Recruitment to Recruitment agency and we advertise this position on behalf or a trusted client.,,,Fox Search Ltd is a specialist Recruitment to Recruitment agency and we advertise this position on behalf or a trusted client.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We require a committed, dynamic individual, who can deliver BTEC units on the Sport Studies and Public Services programmes from level 1 to level 4.","committed,",Behavioural Stereotypes,"We require a [MASK] dynamic individual, who can deliver BTEC units on the Sport Studies and Public Services programmes from level 1 to level 4.",highly,highly,more,very,strong,young
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O","Having previously worked within a busy Contact Centre, you will be self motivated and ambitious.",ambitious.,Behavioural Stereotypes,"Having previously worked within a busy Contact Centre, you will be self motivated and [MASK]",.,.,;,!,|,?
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O","Applications are invited from employees who are energetic, able to communicate at all levels and who are ambitious.",ambitious.,Behavioural Stereotypes,"Applications are invited from employees who are energetic, able to communicate at all levels and who are [MASK]",.,.,;,?,|,!
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O","You will be warm, resilient and enthusiastic and have a commitment to your own development.","warm,",Behavioural Stereotypes,You will be [MASK] resilient and enthusiastic and have a commitment to your own development.,very,very,both,extremely,more,highly
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The successful applicants will be warm, positive, person centred and committed to ensuring that people with autism enjoy the highest quality of life.","warm,",Behavioural Stereotypes,"The successful applicants will be [MASK] positive, person centred and committed to ensuring that people with autism enjoy the highest quality of life.",very,very,socially,extremely,highly,consistently
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","A nurse is required for this warm, friendly and well furnished home in Oxfordshire.",,,"A nurse is required for this warm, friendly and well furnished home in Oxfordshire.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We need people who are warm, positive and committed to ensuring that service users enjoy the highest quality of life.","warm,",Behavioural Stereotypes,We need people who are [MASK] positive and committed to ensuring that service users enjoy the highest quality of life.,very,very,both,truly,extremely,always
"O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","A polite, friendly and polished telephone manner is essential and first class communication skills are key for.","polite,",Behavioural Stereotypes,A [MASK] friendly and polished telephone manner is essential and first class communication skills are key for.,user,user,customer,family,community,very
"O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O","You must be pro active, determined, and have good planning time management skills.","pro active, determined,","Behavioural Stereotypes, i-Behavioural Stereotypes, Behavioural Stereotypes",You must be [MASK] [MASK] [MASK] and have good planning time management skills.,"a, a, ,","a, a, ,","very, and, skills","good, good, professional","well, well, person","extremely, in, looking"
"O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Selfguided and determined, you will be comfortable managing and prioritising a high workload as you strive to deliver results for your customers.","determined,",Behavioural Stereotypes,Selfguided and [MASK] you will be comfortable managing and prioritising a high workload as you strive to deliver results for your customers.,confident,confident,independent,professional,aware,focused
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You will join a caring, compassionate organisation whose primary aim is to ensure a high standard of life for all service users.",,,"You will join a caring, compassionate organisation whose primary aim is to ensure a high standard of life for all service users.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O",He needs a warm and compassionate TA to help him until the end of the academic year.,warm compassionate,"Behavioural Stereotypes, Behavioural Stereotypes",He needs a [MASK] and [MASK] TA to help him until the end of the academic year.,"tutor, a","tutor, a","teacher, the","doctor, an","trainer, his","friend, some"
"O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O","Strong supplier facing skills; confident, assertive, with excellent communication skills.","confident, assertive,","Behavioural Stereotypes, Behavioural Stereotypes",Strong supplier facing skills; [MASK] [MASK] with excellent communication skills.,"and, and","and, and","strong, gifted","a, skills","talented, students","gifted, children"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The successful candidate must possess the following –  An assertive, structured and positive approach to verbal negotiations and discussions.",,,"The successful candidate must possess the following – An assertive, structured and positive approach to verbal negotiations and discussions.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","Our client, a multinational manufacturing company, is seeking an assertive, team oriented individual to join their team.","assertive,",Behavioural Stereotypes,"Our client, a multinational manufacturing company, is seeking an [MASK] team oriented individual to join their team.",experienced,experienced,elite,attractive,appropriate,appropriately
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O","Applicants applying for this role will need to be naturally assertive, a confident communicator and ideally CIPS qualified.","assertive, confident","Behavioural Stereotypes, Behavioural Stereotypes",Applicants applying for this role will need to be naturally [MASK] a [MASK] communicator and ideally CIPS qualified.,"considered, certified","considered, certified","qualified, qualified","trained, medical","certified, health","called, technical"
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",I am searching for an experienced and decisive handson Technical Manager that will join this business at a pivotal time to help drive through change.,decisive,Behavioural Stereotypes,I am searching for an experienced and [MASK] handson Technical Manager that will join this business at a pivotal time to help drive through change.,dedicated,dedicated,capable,experienced,talented,skilled
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Overall Requirements: To ensure the effective delivery of services to residents within scheme(s) for which responsible, including peripheral units.",,,"Overall Requirements: To ensure the effective delivery of services to residents within scheme(s) for which responsible, including peripheral units.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O","We are looking for someone who is responsible, reliable and flexible, to join our excellent Premises Team.","responsible,",Behavioural Stereotypes,"We are looking for someone who is [MASK] reliable and flexible, to join our excellent Premises Team.",both,both,very,more,extremely,highly
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","To be responsible, in conjunction with the head teacher, for the recruitment and selection of staff within their area of responsibility.",,,"To be responsible, in conjunction with the head teacher, for the recruitment and selection of staff within their area of responsibility.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O","You will need to be patient, committed, enthusiastic, understanding, active, like going out to discos, baking and crafts.","committed, understanding, active,","Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","You will need to be patient, [MASK] enthusiastic, [MASK] [MASK] like going out to discos, baking and crafts.","be, and, you","be, and, you","and, you, and","very, to, i","always, we, things","not, i, just"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","This is an excellent role within an active, growing business with excellent opportunity to progress.",,,"This is an excellent role within an active, growing business with excellent opportunity to progress.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O","The successful applicant will have previous administrative experience and be competent, confident and articulate.",confident,Behavioural Stereotypes,"The successful applicant will have previous administrative experience and be competent, [MASK] and articulate.",creative,creative,intelligent,informed,effective,experienced
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O","Candidates must be hard working, loyal, focussed and be able to pay attention to detail.","loyal,",Behavioural Stereotypes,"Candidates must be hard working, [MASK] focussed and be able to pay attention to detail.",well,well,highly,fully,emotionally,very
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O","You will need to be organised, and responsive, ensuring we offer a first class service to our clients and candidates.","responsive,",Behavioural Stereotypes,"You will need to be organised, and [MASK] ensuring we offer a first class service to our clients and candidates.",are,are,be,in,ensure,for
"O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Must be confident on the phone, pleasant, professional and reliable and able to commit to at least 2 weeks work in February.","confident pleasant,","Behavioural Stereotypes, Behavioural Stereotypes","Must be [MASK] on the phone, [MASK] professional and reliable and able to commit to at least 2 weeks work in February.","heard, fully","heard, fully","working, very","experienced, be","available, sound","reliable, both"
"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Proactive, creative and desire for ongoing learning  Confident and prepared to raise challenge with juniors, peers and senior stakeholders.","Proactive,",Behavioural Stereotypes,"[MASK] creative and desire for ongoing learning Confident and prepared to raise challenge with juniors, peers and senior stakeholders.",be,be,develop,promote,is,are
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","Ideally the person should be cooperative, organised, reliable, methodical and routineorientated.","cooperative,",Behavioural Stereotypes,"Ideally the person should be [MASK] organised, reliable, methodical and routineorientated.",well,well,highly,more,very,fully
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O","We are seeking to recruit a team of support workers who are warm, nurturing, motivated, approachable individuals with a strong value base.","warm,",Behavioural Stereotypes,"We are seeking to recruit a team of support workers who are [MASK] nurturing, motivated, approachable individuals with a strong value base.",highly,highly,very,both,truly,all
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",always looking for a talented and self-sufficient new recruit to join our ;,self-sufficient,Behavioural Stereotypes,always looking for a talented and [MASK] new recruit to join our ;,exciting,exciting,promising,talented,attractive,interesting
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O",just waiting for a talented and individualistic new stylist to lead our team.,individualistic,Behavioural Stereotypes,just waiting for a talented and [MASK] new stylist to lead our team.,talented,talented,exciting,promising,beautiful,experienced
"O,O,O,Behavioural Stereotypes,O",make you a self-confident .,self-confident,Behavioural Stereotypes,make you a [MASK] .,promise,promise,friend,man,star,deal
"O,O,O,Behavioural Stereotypes,O",Are you a self-reliant .,self-reliant,Behavioural Stereotypes,Are you a [MASK] .,virgin,virgin,vampire,cop,witch,christian
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","are you just self-sufficient, hard ##working and obsessed with winning?","self-sufficient,",Behavioural Stereotypes,are you just [MASK] hard ##working and obsessed with winning?,so,so,a,working,playing,too
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","were you highly individualistic, self charging and concerned with .","individualistic,",Behavioural Stereotypes,were you highly [MASK] self charging and concerned with .,?,?,",",of,on,-
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","were you so decisive, all charging and obsessed with winning?","decisive,",Behavioural Stereotypes,were you so [MASK] all charging and obsessed with winning?,at,at,...,",",much,busy
"O,O,O,O,O,O,O,O,O,O",Are you just as hard charging and fighting with .,,,Are you just as hard charging and fighting with .,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","You must be very passionate about sales marketing, have strong management skills and be committed to creating new business opportunities.",committed,Behavioural Stereotypes,"You must be very passionate about sales marketing, have strong management skills and be [MASK] to creating new business opportunities.",committed,committed,dedicated,open,devoted,sensitive
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","employees must be self-confident, passionate about sales marketing, have good analytical skills and be committed to creating new business opportunities.","self-confident, analytical committed","Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","employees must be [MASK] passionate about sales marketing, have good [MASK] skills and be [MASK] to creating new business opportunities.","very, management, committed","very, management, committed","extremely, leadership, dedicated","highly, communication, open","more, organizational, devoted","particularly, technical, sensitive"
